Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2022,APR,STATE,39,6,TOTAL,"22,686,000"
2022,APR,STATE,,6,TOTAL,"209,955,000"
2022,APR,STATE,42,6,TOTAL,"38,448,000"
2022,APR,STATE,46,6,TOTAL,"45,528,000"
2022,APR,STATE,50,6,TOTAL,"12,681,000"
2022,APR,STATE,55,6,TOTAL,"295,534,000"
2022,AUG,STATE,6,6,TOTAL,"206,755,000"
2022,AUG,STATE,16,6,TOTAL,"73,689,000"
2022,AUG,STATE,17,6,TOTAL,"5,316,000"
2022,AUG,STATE,19,6,TOTAL,"32,270,000"
2022,AUG,STATE,27,6,TOTAL,"68,053,000"
2022,AUG,STATE,34,6,TOTAL,"5,221,000"
2022,AUG,STATE,35,6,TOTAL,"80,707,000"
2022,AUG,STATE,36,6,TOTAL,"68,943,000"
2022,AUG,STATE,39,6,TOTAL,"20,366,000"
2022,AUG,STATE,,6,TOTAL,"212,889,000"
2022,AUG,STATE,42,6,TOTAL,"35,896,000"
2022,AUG,STATE,46,6,TOTAL,"43,058,000"
2022,AUG,STATE,50,6,TOTAL,"12,133,000"
2022,AUG,STATE,55,6,TOTAL,"291,968,000"
2022,DEC,STATE,6,6,TOTAL,"208,991,000"
2022,DEC,STATE,16,6,TOTAL,"86,478,000"
2022,DEC,STATE,17,6,TOTAL,"5,927,000"
2022,DEC,STATE,19,6,TOTAL,"35,363,000"
2022,DEC,STATE,27,6,TOTAL,"70,252,000"
2022,DEC,STATE,34,6,TOTAL,"5,967,000"
2022,DEC,STATE,35,6,TOTAL,"83,452,000"
2022,DEC,STATE,36,6,TOTAL,"66,828,000"
2022,DEC,STATE,39,6,TOTAL,"23,219,000"
2022,DEC,STATE,,6,TOTAL,"216,752,000"
2022,DEC,STATE,42,6,TOTAL,"39,896,000"
2022,DEC,STATE,46,6,TOTAL,"44,209,000"
2022,DEC,STATE,50,6,TOTAL,"12,909,000"
2022,DEC,STATE,55,6,TOTAL,"298,496,000"
2022,FEB,STATE,6,6,TOTAL,"199,386,000"
2022,FEB,STATE,16,6,TOTAL,"73,069,000"
